Pais,Número Préstamo,Prestamo Completo formula,Prestamo completo valor,Categoría
PAN,01-C-000008,01-C-000008,,A-1
PAN,01-C-000024,01-C-000024,,B-4
PAN,01-C-000036,01-C-000036,,B-4
PAN,01-C-000037,01-C-000037,,A-1
PAN,01-C-000049,01-C-000049,,B-2
PAN,01-C-000062,01-C-000062,,B-4
PAN,01-C-000078,01-C-000078,,B-4
PAN,01-C-000089,01-C-000089,,B-1
PAN,01-C-000099,01-C-000099,,B-2
PAN,01-C-000138,01-C-000138,,A-1
PAN,01-C-000142,01-C-000142,,A-1
PAN,01-C-000148,01-C-000148,,A-1
PAN,01-C-000151,01-C-000151,,B-4
PAN,01-C-000154,01-C-000154,,B-2
PAN,01-C-000157,01-C-000157,,A-1
PAN,01-C-000161,01-C-000161,,A-1
PAN,01-C-000163,01-C-000163,,B-3
PAN,01-C-000175,01-C-000175,,B-2
PAN,01-C-000176,01-C-000176,,A-1
PAN,01-C-000182,01-C-000182,,B-1
PAN,01-C-000183,01-C-000183,,B-1
PAN,01-C-000184,01-C-000184,,B-1
PAN,01-C-000185,01-C-000185,,B-4
PAN,01-C-000187,01-C-000187,,B-1
PAN,01-C-000189,01-C-000189,,A-1
PAN,01-C-000190,01-C-000190,,B-4
PAN,01-C-000192,01-C-000192,,A-1
PAN,01-C-000194,01-C-000194,,B-1
PAN,01-C-000197,01-C-000197,,A-1
PAN,01-C-000202,01-C-000202,,B-2
PAN,01-C-000205,01-C-000205,,B-2
PAN,01-C-000206,01-C-000206,,A-1
PAN,01-C-000207,01-C-000207,,B-2
PAN,01-C-000209,01-C-000209,,B-4
PAN,01-C-000210,01-C-000210,,B-4
PAN,01-C-000213,01-C-000213,,B-1
PAN,01-C-000215,01-C-000215,,A-1
PAN,01-C-000220,01-C-000220,,A-1
PAN,01-C-000221,01-C-000221,,B-1
PAN,01-C-000232,01-C-000232,,B-2
PAN,01-C-000236,01-C-000236,,B-1
PAN,01-C-000237,01-C-000237,,B-2
PAN,01-C-000243,01-C-000243,,B-2
PAN,01-C-000250,01-C-000250,,B-4
PAN,01-C-000257,01-C-000257,,B-1
PAN,01-C-000259,01-C-000259,,B-2
PAN,01-C-000261,01-C-000261,,B-4
PAN,01-C-000264,01-C-000264,,B-1
PAN,01-C-000265,01-C-000265,,B-1
PAN,01-C-000269,01-C-000269,,B-1
PAN,01-C-000270,01-C-000270,,B-4
PAN,01-C-000272,01-C-000272,,B-2
PAN,01-C-000275,01-C-000275,,B-4
PAN,01-C-000276,01-C-000276,,B-1
PAN,01-C-000279,01-C-000279,,A-3
PAN,01-C-000282,01-C-000282,,B-1
PAN,01-C-000287,01-C-000287,,B-4
PAN,01-C-000290,01-C-000290,,B-5
PAN,01-C-000291,01-C-000291,,B-4
PAN,01-C-000293,01-C-000293,,A-1
PAN,01-C-000294,01-C-000294,,B-3
PAN,01-C-000297,01-C-000297,,B-2
PAN,01-C-000299,01-C-000299,,B-2
PAN,01-C-000300,01-C-000300,,B-1
PAN,01-C-000303,01-C-000303,,A-1
PAN,01-C-000306,01-C-000306,,B-1
PAN,01-C-000310,01-C-000310,,A-1
PAN,01-C-000313,01-C-000313,,B-1
PAN,01-C-000315,01-C-000315,,B-2
PAN,01-C-000316,01-C-000316,,B-1
PAN,01-C-000317,01-C-000317,,B-1
PAN,01-C-000320,01-C-000320,,A-1
PAN,01-C-000321,01-C-000321,,B-4
PAN,01-C-000326,01-C-000326,,B-1
PAN,01-C-000327,01-C-000327,,A-1
PAN,01-C-000330,01-C-000330,,B-1
PAN,01-C-000331,01-C-000331,,B-1
PAN,01-C-000334,01-C-000334,,B-1
PAN,01-C-000336,01-C-000336,,B-4
PAN,01-C-000337,01-C-000337,,A-1
PAN,01-C-000340,01-C-000340,,B-1
PAN,01-C-000341,01-C-000341,,B-1
PAN,01-C-000342,01-C-000342,,A-1
PAN,01-C-000343,01-C-000343,,B-4
PAN,01-C-000345,01-C-000345,,B-2
PAN,01-C-000347,01-C-000347,,B-1
PAN,01-C-000349,01-C-000349,,B-4
PAN,01-C-000351,01-C-000351,,B-1
PAN,01-C-000352,01-C-000352,,B-2
PAN,01-C-000355,01-C-000355,,B-1
PAN,01-C-000359,01-C-000359,,B-2
PAN,01-C-000363,01-C-000363,,A-1
PAN,01-C-000367,01-C-000367,,A-1
PAN,01-C-000368,01-C-000368,,A-1
PAN,01-C-000373,01-C-000373,,A-3
PAN,01-C-000374,01-C-000374,,B-2
PAN,01-C-000379,01-C-000379,,B-1
PAN,01-C-000383,01-C-000383,,B-4
PAN,01-C-000384,01-C-000384,,B-4
PAN,01-C-000386,01-C-000386,,B-2
PAN,01-C-000388,01-C-000388,,A-1
PAN,01-C-000390,01-C-000390,,B-5
PAN,01-C-000395,01-C-000395,,A-1
PAN,01-C-000396,01-C-000396,,A-1
PAN,01-C-000399,01-C-000399,,A-1
PAN,01-C-000401,01-C-000401,,B-3
PAN,01-C-000404,01-C-000404,,A-1
PAN,01-C-000405,01-C-000405,,B-4
PAN,01-C-000406,01-C-000406,,B-4
PAN,01-C-000407,01-C-000407,,A-1
PAN,01-C-000408,01-C-000408,,B-2
PAN,01-C-000411,01-C-000411,,A-1
PAN,01-C-000412,01-C-000412,,B-1
PAN,01-C-000422,01-C-000422,,B-2
PAN,01-C-000424,01-C-000424,,B-1
PAN,01-C-000434,01-C-000434,,A-1
PAN,01-C-000435,01-C-000435,,B-1
PAN,01-C-000436,01-C-000436,,B-2
