Pais,Codigo,Sectores
"CFC  ","1         ",6910
"CFC  ","10        ",8610
"CFC  ","100       ",7020
"CFC  ","1000      ",7110
"CFC  ","1001      ",2023
"CFC  ","1002      ",4645
"CFC  ","1003      ",8299
"CFC  ","1004      ",7490
"CFC  ","1005      ",6492
"CFC  ","1006      ",8692
"CFC  ","1007      ",6613
"CFC  ","1008      ",4663
"CFC  ","1009      ",5820
"CFC  ","101       ",5223
"CFC  ","1010      ",7110
"CFC  ","1011      ",4620
"CFC  ","1012      ",1089
"CFC  ","1013      ",2410
"CFC  ","1014      ",4669
"CFC  ","1015      ",4652
"CFC  ","1016      ",7820
"CFC  ","1017      ",6423
"CFC  ","1018      ",1089
"CFC  ","1019      ",4290
"CFC  ","102       ",8422
"CFC  ","1020      ",8299
"CFC  ","1021      ",8010
"CFC  ","1022      ",910
"CFC  ","1023      ",8299
"CFC  ","1024      ",6511
"CFC  ","1025      ",4610
"CFC  ","1026      ",8621
"CFC  ","1027      ",8544
"CFC  ","1028      ",2100
"CFC  ","1029      ",6910
"CFC  ","103       ",6612
"CFC  ","1030      ",6311
"CFC  ","1031      ",5229
"CFC  ","1032      ",145
"CFC  ","1033      ",4659
"CFC  ","1034      ",9499
"CFC  ","1035      ",8621
"CFC  ","1036      ",4761
"CFC  ","1037      ",8010
"CFC  ","1038      ",6201
"CFC  ","1039      ",4761
"CFC  ","104       ",6423
"CFC  ","1040      ",510
"CFC  ","1041      ",6499
"CFC  ","1042      ",4773
"CFC  ","1043      ",5511
"CFC  ","1044      ",4112
"CFC  ","1045      ",8544
"CFC  ","1046      ",8560
"CFC  ","1047      ",4653
"CFC  ","1048      ",8544
"CFC  ","1049      ",4111
"CFC  ","105       ",7911
"CFC  ","1050      ",990
"CFC  ","1051      ",8544
"CFC  ","1052      ",4752
"CFC  ","1053      ",6201
"CFC  ","1054      ",7220
"CFC  ","1055      ",6202
"CFC  ","1056      ",6202
"CFC  ","1057      ",6492
"CFC  ","1058      ",7310
"CFC  ","1059      ",4651
"CFC  ","106       ",9411
"CFC  ","1060      ",7310
"CFC  ","1061      ",8412
"CFC  ","1062      ",8020
"CFC  ","1063      ",1392
"CFC  ","1064      ",1811
"CFC  ","1065      ",8610
"CFC  ","1066      ",6201
"CFC  ","1067      ",4210
"CFC  ","1068      ",510
"CFC  ","1069      ",7110
"CFC  ","107       ",6202
"CFC  ","1070      ",4511
"CFC  ","1071      ",8544
"CFC  ","1072      ",8430
"CFC  ","1073      ",2229
"CFC  ","1074      ",2229
"CFC  ","1075      ",7710
"CFC  ","1076      ",4111
"CFC  ","1077      ",4923
"CFC  ","1078      ",6020
"CFC  ","1079      ",3030
"CFC  ","108       ",8544
"CFC  ","1080      ",9491
"CFC  ","1081      ",5611
"CFC  ","1082      ",5511
"CFC  ","1083      ",6209
"CFC  ","1084      ",8299
"CFC  ","1085      ",7820
"CFC  ","1086      ",4669
"CFC  ","1087      ",6202
"CFC  ","1088      ",4530
"CFC  ","1089      ",4652
"CFC  ","109       ",7820
"CFC  ","1090      ",8544
"CFC  ","1091      ",620
"CFC  ","1092      ",8512
"CFC  ","1093      ",4649
"CFC  ","1094      ",6810
"CFC  ","1095      ",7820
"CFC  ","1096      ",4669
"CFC  ","1097      ",2229
"CFC  ","1098      ",2029
"CFC  ","1099      ",6209
"CFC  ","11        ",910
"CFC  ","110       ",5621
"CFC  ","1100      ",4645
"CFC  ","1101      ",5229
"CFC  ","1102      ",4321
"CFC  ","1103      ",7830
"CFC  ","1104      ",8430
"CFC  ","1105      ",2711
"CFC  ","1106      ",6511
"CFC  ","1107      ",1030
"CFC  ","1108      ",8621
"CFC  ","1109      ",8521
"CFC  ","111       ",1811
"CFC  ","1110      ",4651
"CFC  ","1111      ",1051
"CFC  ","1112      ",1200
"CFC  ","1113      ",8010
"CFC  ","1114      ",6810
"CFC  ","1115      ",8299
"CFC  ","1116      ",7110
"CFC  ","1117      ",8692
"CFC  ","1118      ",9499
"CFC  ","1119      ",6910
"CFC  ","112       ",90
"CFC  ","1120      ",8621
"CFC  ","1121      ",5612
"CFC  ","1122      ",4923
"CFC  ","1123      ",2822
"CFC  ","1124      ",4923
"CFC  ","1125      ",9499
"CFC  ","1126      ",7120
"CFC  ","1127      ",125
"CFC  ","1128      ",4111
"CFC  ","1129      ",8299
"CFC  ","113       ",7830
"CFC  ","1130      ",4659
"CFC  ","1131      ",6621
"CFC  ","1132      ",4321
"CFC  ","1133      ",8412
"CFC  ","1134      ",4644
"CFC  ","1135      ",4210
"CFC  ","1136      ",4719
"CFC  ","1137      ",4659
"CFC  ","1138      ",4390
"CFC  ","1139      ",4659
"CFC  ","114       ",1410
"CFC  ","1140      ",6920
"CFC  ","1141      ",2229
"CFC  ","1142      ",3312
"CFC  ","1143      ",4651
