Noprestamo,Pais,Fechasistema,Producto,Empdeudor1,Empnombdeudor1,Formapgodeudor1,Descripformapgode1,Empdeudor2,Empnombdeudor2,Formapagdeudor2,FechaDesem,Fechacancelacion,Saldoprestamo,Tasaintorig,Tasaintact,Tipocartera,Diasmora,Anomes,Mtomescorr,Mto30dias,Mto60dias,Mto90dias,Mto120dias,Mto150dias,Mto180dias,Mto210dias,Mto240dias,Mto270dias,Mto300dias,Mto330dias,Mto360dias,Mtomas360dias,Saldoprogram,Tipoprestamo,Mtototalmora,Diasmorareal,Contagiadosn,Porcendeudamientotal,DelinquencySinAlivio,Monto CXC,Identificacion,aniomesfsubida,aniomesfdesem,fechasubidamesanterior
000101-02-0000000001,CFC,202012,HIPOTECARIO,102,POLICIA NACIONAL,2,PAGO VOLUNTARIO,0,NULL,NULL,2020-01-07,NULL,43221699.98,11.00,11.00,Cartera en Libros,NULL,202012,381553.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43221699.98,HIP,381553.54,NULL,NO,NULL,241-270 DAYS,1398976.42,NULL,202012,20201,2020-11-01
000101-03-0000000001,CFC,202012,HIPOTECARIO,5570,ARQUITECTOS E INGENIEROS ASOCIADOS S A,2,PAGO VOLUNTARIO,0,NULL,NULL,2020-08-21,NULL,164214143.30,11.95,11.95,Cartera en Libros,NULL,202012,777934.90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,164214143.30,HIP,777934.90,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20208,2020-11-01
000101-03-0000000007,CFC,202012,HIPOTECARIO,5694,GESTION INTEGRAL PARA CONTROL DE OBRAS S.A.S,2,PAGO VOLUNTARIO,0,NULL,NULL,2020-08-27,NULL,89699080.95,11.95,11.95,Cartera en Libros,NULL,202012,873133.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89699080.95,HIP,873133.24,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20208,2020-11-01
000101-03-0000000008,CFC,202012,HIPOTECARIO,5694,GESTION INTEGRAL PARA CONTROL DE OBRAS S.A.S,2,PAGO VOLUNTARIO,0,NULL,NULL,2020-10-21,NULL,89800332.33,11.95,11.95,Cartera en Libros,NULL,202012,318605.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89800332.33,HIP,318605.97,NULL,NO,NULL,CURRENT,NULL,NULL,202012,202010,2020-11-01
000101-03-0000000009,CFC,202012,HIPOTECARIO,5699,SECRETARIA DE EDUCACION MUNICIPAL DE ITAGUI,2,PAGO VOLUNTARIO,5700,AGENCIA DE ADUANAS ADUANIMEX. S.A,2,2019-12-18,NULL,131664522.80,7.50,7.50,Cartera en Libros,NULL,202012,715427.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,131728281.80,HIP,715427.29,NULL,NO,NULL,CURRENT,NULL,NULL,202012,201912,2020-11-01
000101-03-0000000011,CFC,202012,HIPOTECARIO,2651,HEEL COLOMBIA LTDA,2,PAGO VOLUNTARIO,0,NULL,2,2020-10-23,NULL,99778147.27,11.95,11.95,Cartera en Libros,NULL,202012,406073.51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99778147.27,HIP,406073.51,NULL,NO,NULL,CURRENT,NULL,NULL,202012,202010,2020-11-01
000101-03-0000000013,CFC,202012,HIPOTECARIO,5809,CONCESIONARIA VIAL DEL PACIFICO S.A.S.,2,PAGO VOLUNTARIO,151,SENA,2,2020-05-21,NULL,133359189.00,8.50,8.50,Cartera en Libros,NULL,202012,574714.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,133443161.90,HIP,574714.73,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20205,2020-11-01
000101-03-0000000017,CFC,202012,HIPOTECARIO,5908,MATIZ ARQUITECTURA S.A.,2,PAGO VOLUNTARIO,0,NULL,2,2020-08-19,NULL,173563079.70,11.95,11.95,Cartera en Libros,NULL,202012,934143.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,173563079.70,HIP,934143.91,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20208,2020-11-01
000101-03-0000000027,CFC,202012,HIPOTECARIO,4548,SOLUCIONES ADMINISTRATIVAS CITY S A S,2,PAGO VOLUNTARIO,0,NULL,2,2020-03-12,NULL,151078525.30,11.00,11.00,Cartera en Libros,NULL,202012,1250237.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,151078525.30,HIP,1250237.77,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20203,2020-11-01
000101-03-0000000032,CFC,202012,HIPOTECARIO,6110,METRO DE MEDELLIN LTDA,2,PAGO VOLUNTARIO,6108,CLAUDIA PATRICIA BEDOYA JARAMILLO,2,2020-03-27,NULL,149668690.80,11.00,11.00,Cartera en Libros,NULL,202012,487212.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,149668690.80,HIP,487212.72,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20203,2020-11-01
