Pais,SICCODE_Codigo,Descripcion,Riesgo,Codseccion,Descrip seccion
CFC,10,Otras Clasificaciones,Medio,"OTR       ","""""""Asalariados: Personas naturales y sucesiones ilíquidas"
CFC,50,INDEPENDIENTE,Alto,"V1        ",INDEPENDIENTE
CFC,60,RENTISTA DE CAPITAL,Alto,"V2        ",RENTISTA DE CAPITAL
CFC,70,EMPLEO INFORMAL,Alto,"V3        ",EMPLEO INFORMAL
CFC,90,Otras Clasificaciones,Medio,"OTR       ","""""""Rentistas de Capital sólo para Personas Naturales: Personas naturales y sucesiones ilíquidas"
CFC,111,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ","""""""Cultivo de cereales (excepto arroz)"
CFC,112,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cultivo de arroz
CFC,113,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ","""""""Cultivo de hortalizas"
CFC,114,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cultivo de tabaco
CFC,115,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cultivo de plantas textiles
CFC,119,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Otros cultivos transitorios n.c.p.
CFC,121,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cultivo de frutas tropicales y subtropicales
CFC,122,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cultivo de plátano y banano
CFC,123,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cultivo de café
CFC,124,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cultivo de caña de azúcar
CFC,125,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cultivo de flor de corte
CFC,126,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
CFC,127,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cultivo de plantas con las que se prepararan bebidas
CFC,128,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cultivo de especias y de plantas aromáticas y medicinales
CFC,129,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Otros cultivos permanentes n.c.p.
CFC,130,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ","""""""Propagación de plantas (actividades de los viveros"
CFC,141,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cría de ganado bovino y bufalino
CFC,142,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cría de caballos y otros equinos
CFC,143,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cría de ovejas y cabras
CFC,144,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cría de ganado porcino
CFC,145,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cría de aves de corral
CFC,149,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Cría de otros animales n.c.p.
CFC,150,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Explotación mixta (agrícola y pecuaria)
CFC,161,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Actividades de apoyo a la agricultura
CFC,162,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Actividades de apoyo a la ganadería
CFC,163,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Actividades posteriores a la cosecha
CFC,164,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Tratamiento de semillas para propagación
CFC,170,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Caza ordinaria y mediante trampas y actividades de servicios conexas
CFC,210,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Silvicultura y otras actividades forestales
CFC,220,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Extracción de madera
CFC,230,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Recolección de productos forestales diferentes a la madera
CFC,240,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Servicios de apoyo a la silvicultura
CFC,311,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Pesca marítima
CFC,312,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Pesca de agua dulce
CFC,321,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Acuicultura marítima
CFC,322,"""Agricultura, ganadería, silvicultura y pesca""",Bajo,"A         ",Acuicultura de agua dulce
CFC,510,Explotación de minas y canteras,Bajo,"B         ",Extracción de hulla (carbón de piedra)
CFC,520,Explotación de minas y canteras,Bajo,"B         ",Extracción de carbón lignito
CFC,610,Explotación de minas y canteras,Bajo,"B         ",Extracción de petróleo crudo
CFC,620,Explotación de minas y canteras,Bajo,"B         ",Extracción de gas natural
CFC,710,Explotación de minas y canteras,Bajo,"B         ",Extracción de minerales de hierro
CFC,721,Explotación de minas y canteras,Bajo,"B         ",Extracción de minerales de uranio y de torio
CFC,722,Explotación de minas y canteras,Bajo,"B         ",Extracción de oro y otros metales preciosos
CFC,723,Explotación de minas y canteras,Bajo,"B         ",Extracción de minerales de níquel
CFC,729,Explotación de minas y canteras,Bajo,"B         ",Extracción de otros minerales metalíferos no ferrosos n.c.p.
CFC,811,Explotación de minas y canteras,Bajo,"B         ","""""""Extracción de piedra"
CFC,812,Explotación de minas y canteras,Bajo,"B         ","""""""Extracción de arcillas de uso industrial"
CFC,820,Explotación de minas y canteras,Bajo,"B         ","""""""Extracción de esmeraldas"
