"","time","DAX","SMI","CAC","FTSE"
"1",1991,1628.75,1678.1,1772.8,2443.6
"2",1991.00430338892,1613.63,1688.5,1750.5,2460.2
"3",1991.00860677784,1606.51,1678.6,1718,2448.2
"4",1991.01291016676,1621.04,1684.1,1708.1,2470.4
"5",1991.01721355568,1618.16,1686.6,1723.1,2484.7
"6",1991.02151694459,1610.61,1671.6,1714.3,2466.8
"7",1991.02582033351,1630.75,1682.9,1734.5,2487.9
"8",1991.03012372243,1640.17,1703.6,1757.4,2508.4
"9",1991.03442711135,1635.47,1697.5,1754,2510.5
"10",1991.03873050027,1645.89,1716.3,1754.3,2497.4
"11",1991.04303388919,1647.84,1723.8,1759.8,2532.5
"12",1991.04733727811,1638.35,1730.5,1755.5,2556.8
"13",1991.05164066703,1629.93,1727.4,1758.1,2561
"14",1991.05594405594,1621.49,1733.3,1757.5,2547.3
"15",1991.06024744486,1624.74,1734,1763.5,2541.5
"16",1991.06455083378,1627.63,1728.3,1762.8,2558.5
"17",1991.0688542227,1631.99,1737.1,1768.9,2587.9
"18",1991.07315761162,1621.18,1723.1,1778.1,2580.5
"19",1991.07746100054,1613.42,1723.6,1780.1,2579.6
"20",1991.08176438946,1604.95,1719,1767.7,2589.3
"21",1991.08606777838,1605.75,1721.2,1757.9,2595
"22",1991.09037116729,1616.67,1725.3,1756.6,2595.6
"23",1991.09467455621,1619.29,1727.2,1754.7,2588.8
"24",1991.09897794513,1620.49,1727.2,1766.8,2591.7
"25",1991.10328133405,1619.67,1731.6,1766.5,2601.7
"26",1991.10758472297,1623.07,1724.1,1762.2,2585.4
"27",1991.11188811189,1613.98,1716.9,1759.5,2573.3
"28",1991.11619150081,1631.87,1723.4,1782.4,2597.4
"29",1991.12049488973,1630.37,1723,1789.5,2600.6
"30",1991.12479827864,1633.47,1728.4,1783.5,2570.6
"31",1991.12910166756,1626.55,1722.1,1780.4,2569.4
"32",1991.13340505648,1650.43,1724.5,1808.8,2584.9
"33",1991.1377084454,1650.06,1733.6,1820.3,2608.8
"34",1991.14201183432,1654.11,1739,1820.3,2617.2
"35",1991.14631522324,1653.6,1726.2,1820.3,2621
"36",1991.15061861216,1501.82,1587.4,1687.5,2540.5
"37",1991.15492200108,1524.28,1630.6,1725.6,2554.5
"38",1991.15922538999,1603.65,1685.5,1792.9,2601.9
"39",1991.16352877891,1622.49,1701.3,1819.1,2623
"40",1991.16783216783,1636.68,1718,1833.5,2640.7
"41",1991.17213555675,1652.1,1726.2,1853.4,2640.7
"42",1991.17643894567,1645.81,1716.6,1849.7,2619.8
"43",1991.18074233459,1650.36,1725.8,1851.8,2624.2
"44",1991.18504572351,1651.55,1737.4,1857.7,2638.2
"45",1991.18934911243,1649.88,1736.6,1864.3,2645.7
"46",1991.19365250134,1653.52,1732.4,1863.5,2679.6
"47",1991.19795589026,1657.51,1731.2,1873.2,2669
"48",1991.20225927918,1649.55,1726.9,1860.8,2664.6
"49",1991.2065626681,1649.09,1727.8,1868.7,2663.3
"50",1991.21086605702,1646.41,1720.2,1860.4,2667.4
"51",1991.21516944594,1638.65,1715.4,1855.9,2653.2
"52",1991.21947283486,1625.8,1708.7,1840.5,2630.8
"53",1991.22377622378,1628.64,1713,1842.6,2626.6
"54",1991.22807961269,1632.22,1713.5,1861.2,2641.9
"55",1991.23238300161,1633.65,1718,1876.2,2625.8
"56",1991.23668639053,1631.17,1701.7,1878.3,2606
"57",1991.24098977945,1635.8,1701.7,1878.4,2594.4
"58",1991.24529316837,1621.27,1684.9,1869.4,2583.6
"59",1991.24959655729,1624.7,1687.2,1880.4,2588.7
"60",1991.25389994621,1616.13,1690.6,1885.5,2600.3
"61",1991.25820333513,1618.12,1684.3,1888.4,2579.5
